city,state,population_male,population_female,literates_male,literates_female,sex_ratio,child_sex_ratio,male_graduates,female_graduates
Machilipatnam,ANDHRA PRADESH,83561,86447,66337,63836,1035,947,11957,7915
Madanapalle,ANDHRA PRADESH,67432,68237,52994,46492,1012,937,10050,6335
Madavaram,TAMIL NADU,59631,58894,50467,45841,988,957,10179,8346
Madhyamgram,WEST BENGAL,100611,98353,86682,78948,978,963,16352,11232
Madurai,TAMIL NADU,509313,507572,440419,405571,997,956,73889,55830
Mahbubnagar,ANDHRA PRADESH,79423,78479,64187,55439,988,917,18972,11314
Mahesana,GUJARAT,97212,86921,83642,68131,894,762,16287,10904
Maheshtala,WEST BENGAL,231044,218379,179762,155678,945,957,19939,13308
Mainpuri,UTTAR PRADESH,61481,55846,48215,40333,908,849,10865,7880
Malegaon,MAHARASHTRA,239243,231763,181084,162527,969,941,13345,9485
Malerkotla,PUNJAB,71401,63929,47164,36442,895,950,5227,4540
Mandoli,NCT OF DELHI,64123,56222,48535,35518,877,897,4596,2678
Mandsaur,MADHYA PRADESH,72370,69098,59436,49699,955,898,10920,7305
Mandya,KARNATAKA,68748,68987,55442,50496,1003,944,9858,6345
Mangalore,KARNATAKA,240651,244134,211482,205381,1014,930,39002,39095
Mango,JHARKHAND,116243,107759,92914,76634,927,913,17145,11537
Mathura,UTTAR PRADESH,186586,162750,134597,101379,872,859,26068,18289
Maunath Bhanjan,UTTAR PRADESH,143273,135787,102802,84580,948,952,12297,8478
Medinipur,WEST BENGAL,85362,83765,72948,66355,981,979,17243,11255
Meerut,UTTAR PRADESH,689567,619456,499928,389801,898,851,95192,78833
Mira Bhayander,MAHARASHTRA,434330,380325,375671,308494,876,885,65979,52527
Miryalaguda,ANDHRA PRADESH,52048,51807,41697,34996,995,948,8688,4689
Mirzapur-cum-Vindhyachal,UTTAR PRADESH,125003,108688,92423,68705,869,879,16225,9621
Modinagar,UTTAR PRADESH,69179,60982,58282,46101,882,778,13484,11211
Moga,PUNJAB,79760,70672,60698,50066,886,857,8356,9406
Moradabad,UTTAR PRADESH,466432,423378,302447,248190,908,903,48955,43044
Morena,MADHYA PRADESH,108405,92101,83531,56372,850,807,14504,6847
Morvi,GUJARAT,97860,90418,77826,62953,924,862,8441,6754
Motihari,BIHAR,67438,57745,52904,42022,856,836,13634,5916
Mughalsarai,UTTAR PRADESH,57925,52185,45305,34306,901,897,7244,4514
Muktsar,PUNJAB,62005,55080,45007,34972,888,831,5931,5854
Munger,BIHAR,113173,99928,84571,65864,883,910,13825,6163
Murwara,MADHYA PRADESH,115463,106412,94777,77189,922,892,15456,11555
Mustafabad,NCT OF DELHI,66754,60258,47714,34201,903,903,2950,1512
Muzaffarnagar,UTTAR PRADESH,206902,185549,154902,123503,897,844,31729,27236
Muzaffarpur,BIHAR,186145,165693,145548,118090,890,897,40575,21339
Mysore,KARNATAKA,443813,443633,363157,339739,1000,945,85019,64287
Nabadwip,WEST BENGAL,65300,60228,55569,47224,922,938,6492,3591
Nadiad,GUJARAT,112381,105769,94468,80463,941,851,16224,11208
Nagaon,ASSAM,59021,57334,52690,45378,971,1043,8798,6475
Nagapattinam,TAMIL NADU,50809,52029,42374,39539,1024,930,4900,3569
Nagaur,RAJASTHAN,52220,48398,37179,26849,927,876,5384,2428
Nagda,MADHYA PRADESH,51410,48626,40765,31853,946,893,5707,4137
Nagercoil,TAMIL NADU,110132,114197,97545,98203,1037,983,17826,16516
Nagpur,MAHARASHTRA,1226610,1178811,1060359,958239,961,921,201349,180933
Naihati,WEST BENGAL,112773,108989,96626,86832,966,926,13877,9304
Nalgonda,ANDHRA PRADESH,67749,67414,56100,49785,995,959,16916,9659
Nanded Waghala,MAHARASHTRA,286152,264412,231449,190157,924,872,38146,19590
Nandurbar,MAHARASHTRA,57543,53524,46673,38962,930,838,7441,4010
Nandyal,ANDHRA PRADESH,100770,99976,75749,62776,992,920,14540,7871
Nangloi Jat,NCT OF DELHI,110068,95429,85448,62357,867,858,7779,4913
Narasaraopet,ANDHRA PRADESH,58898,57431,45796,38327,975,938,8984,4888
Nashik,MAHARASHTRA,784995,701978,658585,539559,894,856,116855,87159
Navi Mumbai,MAHARASHTRA,611501,507976,519257,392285,831,901,107448,85176
Navi Mumbai Panvel Raigarh,MAHARASHTRA,107771,87228,88833,64775,809,884,13561,9070
Navsari,GUJARAT,82925,77175,69437,59385,931,869,9219,8206
Neemuch,MADHYA PRADESH,67322,60786,54829,42327,903,914,9669,6759
